Nicolle19Name,Horseybark1_final,Horseybark2_final,forming ribbons_final,mallee
Eucalyptus dives,subfibrous - peppermint,subfibrous - stringy / peppermint,s,no
Eucalyptus dorsiventralis,ironbark,ironbark,n,no
Eucalyptus dumosa,smooth with stocking,smooth with stocking,y,both
Eucalyptus dunnii,smooth with stocking,smooth with stocking,y,no
Eucalyptus dwyeri,smooth,smooth,n,both
Eucalyptus elata,smooth,smooth,y,mallee
Eucalyptus elata,halfbark,smooth with stocking,y,tree
Eucalyptus eugenioides,stringybark,stringybark,n,no
Eucalyptus expressa,stringybark,stringybark,n,no
Eucalyptus exserta,subfibrous - peppermint,subfibrous - stringy / peppermint,s,both
Eucalyptus fastigata,subfibrous - stringy,subfibrous - stringy / peppermint,y,no
Eucalyptus fibrosa,ironbark,ironbark,n,no
Eucalyptus fraxinoides,smooth with stocking,smooth with stocking,y,no
Eucalyptus fusiformis,ironbark,ironbark,n,no
Eucalyptus gillii,smooth with stocking,smooth with stocking,y,both
Eucalyptus glaucescens,smooth,smooth,y,mallee
Eucalyptus glaucescens,smooth with stocking,smooth with stocking,y,tree
Eucalyptus glaucina,smooth,smooth,n,no
Eucalyptus globoidea,stringybark,stringybark,n,no
Eucalyptus goniocalyx,smooth,smooth,s,mallee
Eucalyptus goniocalyx,subfibrous - box,subfibrous - rough / box / tessellated,s,tree
Eucalyptus gracilis,smooth with stocking,smooth with stocking,s,both
Eucalyptus grandis,smooth with stocking,smooth with stocking,s,no
Eucalyptus gregsoniana,smooth,smooth,y,both
Eucalyptus haemastoma,smooth,smooth,s,no
Eucalyptus imitans,stringybark,stringybark,n,no
Eucalyptus imlayensis,smooth,smooth,y,yes
Eucalyptus incrassata,smooth with stocking,smooth with stocking,y,yes
Eucalyptus interstans,smooth,smooth,n,no
Eucalyptus intertexta,halfbark,smooth with stocking,s,both
Eucalyptus kartzoffiana,halfbark,smooth with stocking,y,no
Eucalyptus kybeanensis,smooth,smooth,y,both
Eucalyptus lacrimans,smooth,smooth,s,no
Eucalyptus lactea,smooth,smooth,s,no
Eucalyptus laevopinea,stringybark,stringybark,s,no
Eucalyptus langleyi,smooth,smooth,s,yes
Eucalyptus largeana,subfibrous - box,subfibrous - rough / box / tessellated,s,no
Eucalyptus largiflorens,subfibrous - box,subfibrous - rough / box / tessellated,n,no
Eucalyptus leptophylla,smooth with stocking,smooth with stocking,s,both
