spp_short,Horseyspecies,BioNetspecies,bark1,bark2,ribbons
E. cinerea,Eucalyptus cinerea,Eucalyptus cinerea,stringybark,stringybark,s
E. conica,Eucalyptus conica,Eucalyptus conica,subfibrous - box,subfibrous - box / peppermint,s
E. consideniana,Eucalyptus consideniana,Eucalyptus consideniana,subfibrous - peppermint,subfibrous - box / peppermint,y
E. crebra,Eucalyptus crebra,Eucalyptus crebra,ironbark,ironbark,n
E. cypellocarpa,Eucalyptus cypellocarpa,Eucalyptus cypellocarpa,smooth,smooth,y
E. dalrympleana subsp. dalrympleana,Eucalyptus dalrympleana subsp. dalrympleana,Eucalyptus dalrympleana subsp. dalrympleana,smooth - short stocking,smooth with stocking,y
E. dalrympleana subsp. heptantha,Eucalyptus dalrympleana subsp. heptantha,Eucalyptus dalrympleana subsp. heptantha,smooth - short stocking,smooth with stocking,y
E. dealbata,Eucalyptus dealbata,Eucalyptus dealbata,smooth,smooth,n
E. deanei,Eucalyptus deanei,Eucalyptus deanei,smooth - short stocking,smooth with stocking,s
E. delegatensis subsp. delegatensis,Eucalyptus delagatensis subsp. delegatensis,Eucalyptus delegatensis subsp. delegatensis,subfibrous - stringy,stringybark,y
E. dives,Eucalyptus dives,Eucalyptus dives,subfibrous - peppermint,subfibrous - box / peppermint,y
E. dorrigoensis,Eucalyptus dorrigoensis,Eucalyptus dorrigoensis,smooth,smooth,y
E. dunnii,Eucalyptus dunnii,Eucalyptus dunnii,smooth - short stocking,smooth with stocking,y
E. elata,Eucalyptus elata,Eucalyptus elata,subfibrous - peppermint,subfibrous - box / peppermint,y
E. eugenioides,Eucalyptus eugenioides,Eucalyptus eugenioides,stringybark,stringybark,n
E. fastigata,Eucalyptus fastigata,Eucalyptus fastigata,stringybark,stringybark,y
E. fibrosa,Eucalyptus fibrosa subsp. fibrosa,Eucalyptus fibrosa,ironbark,ironbark,n
E. nubila,Eucalyptus fibrosa subsp. nubila,Eucalyptus nubila,ironbark,ironbark,n
E. fraxinoides,Eucalyptus fraxinoides,Eucalyptus fraxinoides,smooth - short stocking,smooth with stocking,y
E. globoidea,Eucalyptus globoidea,Eucalyptus globoidea,stringybark,stringybark,n
